Material,Type of concrete,Lateral load resisting  system,Height,Irregularities,Ductility,Type of block
Composite (concrete + steel),Cast in place,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,High-rise (7-12 floors),Unknown,Unknown,Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,Unknown,Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,Unknown,Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Regular,Unknown,Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-soft storey,Unknown,Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Irregular-torsion,Unknown,Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,Non ductile (PGA<0.1g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,Non ductile (PGA<0.1g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,Non ductile (PGA<0.1g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,High ductility (PGA>0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,High ductility (PGA>0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,High ductility (PGA>0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,Unknown,Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,Unknown,Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Tall (>12 floors),Unknown,Unknown,Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,Non ductile (PGA<0.1g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,Non ductile (PGA<0.1g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,Non ductile (PGA<0.1g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,Moderate ductility (0.1g<PGA<0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,Moderate ductility (0.1g<PGA<0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,High ductility (PGA>0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,High ductility (PGA>0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,High ductility (PGA>0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,Unknown,Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,Unknown,Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Regular,Unknown,Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,Non ductile (PGA<0.1g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,Non ductile (PGA<0.1g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,Non ductile (PGA<0.1g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,High ductility (PGA>0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,High ductility (PGA>0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,High ductility (PGA>0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,Unknown,Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,Unknown,Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-soft storey,Unknown,Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,Non ductile (PGA<0.1g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,Non ductile (PGA<0.1g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,Non ductile (PGA<0.1g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,High ductility (PGA>0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,High ductility (PGA>0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,High ductility (PGA>0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,Unknown,Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,Unknown,Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Irregular-torsion,Unknown,Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,Non ductile (PGA<0.1g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,Non ductile (PGA<0.1g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,Non ductile (PGA<0.1g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,Moderate ductility (0.1g<PGA<0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,Moderate ductility (0.1g<PGA<0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,Moderate ductility (0.1g<PGA<0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,High ductility (PGA>0.3g),Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,High ductility (PGA>0.3g),Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,High ductility (PGA>0.3g),Unknown 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,Unknown,Concrete block 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,Unknown,Ceramic brick 	
Composite (concrete + steel),Cast in place,Infilled frame,Unknown,Unknown,Unknown,Unknown 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Regular,Unknown,- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Low rise (<3 floors),Unknown,Unknown,- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Regular,Unknown,- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,Mid rise (4-6 floors),Unknown,Unknown,- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Regular,Unknown,- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Cast in place,Wall,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),- 	
